target,distractor,trialNum,targetNum,repNum,response,correct,time,listener,speaker
bird,dog,1,1,NA,bird,true,21112,id144,id143
boat,house,2,2,NA,boat,true,7670,id143,id144
tree,swan,3,3,NA,tree,true,4826,id144,id143
swim,jump,4,0,0,swim,true,22504,id143,id144
jump,hold,5,1,0,jump,true,9387,id144,id143
hold,swim,6,2,0,hold,true,15425,id143,id144
walk,hold,7,3,0,walk,true,7505,id144,id143
hold,jump,8,0,1,jump,false,19458,id143,id144
jump,walk,9,1,1,jump,true,12569,id144,id143
walk,swim,10,2,1,walk,true,9255,id143,id144
swim,jump,11,3,1,swim,true,6008,id144,id143
hold,walk,12,0,2,hold,true,10374,id143,id144
jump,walk,13,1,2,walk,false,5954,id144,id143
swim,jump,14,2,2,swim,true,20517,id143,id144
walk,swim,15,3,2,walk,true,5279,id144,id143
swim,walk,16,0,3,swim,true,7266,id143,id144
walk,hold,17,1,3,hold,false,7183,id144,id143
hold,jump,18,2,3,hold,true,9702,id143,id144
jump,walk,19,3,3,jump,true,4295,id144,id143
apple,banana,0,0,NA,apple,true,8089,id145,id146
dog,bird,1,1,NA,dog,true,37901,id146,id145
boat,house,2,2,NA,boat,true,9456,id145,id146
tree,swan,3,3,NA,tree,true,11111,id146,id145
hold,jump,4,0,0,hold,true,6735,id145,id146
walk,hold,5,1,0,walk,true,29955,id146,id145
jump,walk,6,2,0,jump,true,5713,id145,id146
swim,hold,7,3,0,swim,true,5168,id146,id145
jump,hold,8,0,1,hold,false,21799,id145,id146
hold,swim,9,1,1,hold,true,15208,id146,id145
walk,swim,10,2,1,walk,true,5820,id145,id146
swim,walk,11,3,1,swim,true,7416,id146,id145
swim,hold,12,0,2,swim,true,5245,id145,id146
walk,jump,13,1,2,walk,true,8048,id146,id145
hold,walk,14,2,2,walk,false,5112,id145,id146
jump,swim,15,3,2,jump,true,6846,id146,id145
hold,jump,16,0,3,hold,true,7647,id145,id146
walk,swim,17,1,3,walk,true,8377,id146,id145
swim,hold,18,2,3,swim,true,5420,id145,id146
jump,swim,19,3,3,jump,true,10698,id146,id145
banana,apple,0,0,NA,banana,true,53613,id148,id147
dog,bird,1,1,NA,dog,true,7501,id147,id148
house,boat,2,2,NA,house,true,10305,id148,id147
tree,swan,3,3,NA,tree,true,3967,id147,id148
walk,hold,4,0,0,walk,true,18826,id148,id147
jump,hold,5,1,0,jump,true,7120,id147,id148
swim,jump,6,2,0,swim,true,27160,id148,id147
hold,walk,7,3,0,walk,false,12275,id147,id148
hold,jump,8,0,1,hold,true,16544,id148,id147
swim,walk,9,1,1,swim,true,10316,id147,id148
walk,jump,10,2,1,walk,true,7431,id148,id147
jump,swim,11,3,1,jump,true,4686,id147,id148
jump,walk,12,0,2,jump,true,5652,id148,id147
hold,walk,13,1,2,hold,true,7394,id147,id148
walk,jump,14,2,2,walk,true,6338,id148,id147
swim,hold,15,3,2,swim,true,6594,id147,id148
swim,hold,16,0,3,swim,true,7893,id148,id147
hold,swim,17,1,3,hold,true,6799,id147,id148
jump,swim,18,2,3,jump,true,6857,id148,id147
walk,hold,19,3,3,walk,true,16943,id147,id148
apple,banana,0,0,NA,apple,true,35191,id150,id149
dog,bird,1,1,NA,dog,true,14783,id149,id150
house,boat,2,2,NA,house,true,8225,id150,id149
swan,tree,3,3,NA,swan,true,7758,id149,id150
hold,walk,4,0,0,hold,true,38924,id150,id149
swim,walk,5,1,0,swim,true,13707,id149,id150
jump,walk,6,2,0,jump,true,16322,id150,id149
walk,swim,7,3,0,walk,true,5458,id149,id150
jump,walk,8,0,1,jump,true,8730,id150,id149
walk,jump,9,1,1,walk,true,8418,id149,id150
hold,jump,10,2,1,hold,true,9331,id150,id149
swim,hold,11,3,1,swim,true,3893,id149,id150
walk,swim,12,0,2,walk,true,3415,id150,id149
hold,swim,13,1,2,hold,true,14032,id149,id150
swim,hold,14,2,2,swim,true,10151,id150,id149
jump,hold,15,3,2,hold,false,13717,id149,id150
jump,hold,16,0,3,jump,true,26068,id150,id149
swim,hold,17,1,3,swim,true,4468,id149,id150
hold,walk,18,2,3,walk,false,10241,id150,id149
walk,jump,19,3,3,walk,true,8757,id149,id150
